;date;Confinement ;Phase;Phase
306;2020-09-13 18:00:00;0;1ère phase;0
307;2020-09-13 19:00:00;0;1ère phase;0
308;2020-09-13 20:00:00;0;1ère phase;0
309;2020-09-13 21:00:00;0;1ère phase;0
310;2020-09-13 22:00:00;0;1ère phase;0
311;2020-09-13 23:00:00;0;1ère phase;0
312;2020-09-14 00:00:00;0;1ère phase;0
313;2020-09-14 01:00:00;0;1ère phase;0
314;2020-09-14 02:00:00;0;1ère phase;0
315;2020-09-14 03:00:00;0;1ère phase;0
316;2020-09-14 04:00:00;0;1ère phase;0
317;2020-09-14 05:00:00;0;1ère phase;0
318;2020-09-14 06:00:00;0;1ère phase;0
319;2020-09-14 07:00:00;0;1ère phase;0
320;2020-09-14 08:00:00;0;1ère phase;0
321;2020-09-14 09:00:00;0;1ère phase;0
322;2020-09-14 10:00:00;0;1ère phase;0
323;2020-09-14 11:00:00;0;1ère phase;0
324;2020-09-14 12:00:00;0;1ère phase;0
325;2020-09-14 13:00:00;0;1ère phase;0
326;2020-09-14 14:00:00;0;1ère phase;0
327;2020-09-14 15:00:00;0;1ère phase;0
328;2020-09-14 16:00:00;0;1ère phase;0
329;2020-09-14 17:00:00;0;1ère phase;0
330;2020-09-14 18:00:00;0;1ère phase;0
331;2020-09-14 19:00:00;0;1ère phase;0
332;2020-09-14 20:00:00;0;1ère phase;0
333;2020-09-14 21:00:00;0;1ère phase;0
334;2020-09-14 22:00:00;0;1ère phase;0
335;2020-09-14 23:00:00;0;1ère phase;0
336;2020-09-15 00:00:00;0;1ère phase;0
337;2020-09-15 01:00:00;0;1ère phase;0
338;2020-09-15 02:00:00;0;1ère phase;0
339;2020-09-15 03:00:00;0;1ère phase;0
340;2020-09-15 04:00:00;0;1ère phase;0
341;2020-09-15 05:00:00;0;1ère phase;0
342;2020-09-15 06:00:00;0;1ère phase;0
343;2020-09-15 07:00:00;0;1ère phase;0
344;2020-09-15 08:00:00;0;1ère phase;0
345;2020-09-15 09:00:00;0;1ère phase;0
346;2020-09-15 10:00:00;0;1ère phase;0
347;2020-09-15 11:00:00;0;1ère phase;0
